"","N","variable","value","upper","lower"
"31",31,"1969-03-01",2.76817891389281e-06,8.8242112874808e-05,-7.16611147239109e-07
"32",32,"1969-03-01",2.02763321897146e-06,7.42449979857037e-05,-5.30788137213645e-07
"33",33,"1969-03-01",1.4852082727478e-06,6.35283928475864e-05,-6.4851176588286e-07
"34",34,"1969-03-01",1.08788625055477e-06,5.44032388023646e-05,-6.90980281291056e-07
"35",35,"1969-03-01",7.96843032436735e-07,4.65935979863873e-05,-6.51235497078696e-07
"36",36,"1969-03-01",5.83660439810812e-07,3.99090648674732e-05,-5.24748722187999e-07
"37",37,"1969-03-01",4.27511485407948e-07,3.41869988814559e-05,-4.23121641511542e-07
"38",38,"1969-03-01",3.13136203505787e-07,2.92882997801066e-05,-3.41426583878673e-07
"39",39,"1969-03-01",2.29359724194178e-07,2.50940732175338e-05,-2.76659167243308e-07
"40",40,"1969-03-01",1.67996701776019e-07,2.15026374846772e-05,-2.25038392008168e-07
"41",41,"1969-03-01",1.23050634612897e-07,1.84270500602972e-05,-1.82682190036229e-07
"42",42,"1969-03-01",9.01293432325516e-08,1.57072567451852e-05,-1.36752393433429e-07
"43",43,"1969-03-01",6.6015849160175e-08,1.31573155455605e-05,-9.75052547859523e-08
"44",44,"1969-03-01",4.83537381777246e-08,1.10222891345472e-05,-6.85196888618949e-08
"45",1,"1969-04-01",0,0,0
"46",2,"1969-04-01",0.0126815115558244,0.0444731842950555,-0.0201088141503663
"47",3,"1969-04-01",0.0255486930118422,0.0520279804027112,-0.00948529347216376
"48",4,"1969-04-01",0.00605339575036029,0.0220165945957127,-0.0103542812664655
"49",5,"1969-04-01",0.00689387867533475,0.0194508815542022,-0.00914241957800855
"50",6,"1969-04-01",0.00719646915529364,0.0189678575568845,-0.00316124032218629
"51",7,"1969-04-01",0.005187547099921,0.0147797017781887,-0.00318092346819585
"52",8,"1969-04-01",0.00312341730269035,0.0103369048639547,-0.00331101103943254
"53",9,"1969-04-01",0.00270250794524301,0.00860387471633612,-0.00231370334815816
"54",10,"1969-04-01",0.00210882372121712,0.00682714990967439,-0.00112640845702534
"55",11,"1969-04-01",0.0014699969717416,0.00535344644149309,-0.0011199750797942
"56",12,"1969-04-01",0.00107291600937848,0.0042670688658322,-0.000959050004527443
"57",13,"1969-04-01",0.000828960728993647,0.00337838382297178,-0.000522096287200163
"58",14,"1969-04-01",0.000608347940971221,0.00266229714213767,-0.000338260110610814
"59",15,"1969-04-01",0.000440475565792744,0.00209985477532432,-0.000378718999420372
"60",16,"1969-04-01",0.000327203135095028,0.00165540753501952,-0.000298455865134938
"61",17,"1969-04-01",0.000243017404324754,0.00132299441437835,-0.000224688312491065
"62",18,"1969-04-01",0.000177730778855172,0.00106567397186614,-0.000172141288674872
"63",19,"1969-04-01",0.000130469120659683,0.000858818144230359,-0.000138895686739235
"64",20,"1969-04-01",9.63511923876867e-05,0.000691957600155516,-9.90755689994847e-05
"65",21,"1969-04-01",7.08662176853724e-05,0.000558185128945413,-7.49189641836199e-05
"66",22,"1969-04-01",5.19862684644093e-05,0.000450591557176484,-5.70336175192376e-05
"67",23,"1969-04-01",3.8232086450991e-05,0.000364615641526649,-3.99713783222674e-05
"68",24,"1969-04-01",2.81266559656303e-05,0.00029572058824723,-2.58263921643891e-05
"69",25,"1969-04-01",2.06584572137238e-05,0.000240080925507571,-1.92640008328705e-05
"70",26,"1969-04-01",1.51742159709286e-05,0.000195076000893677,-1.4393794323732e-05
"71",27,"1969-04-01",1.11536545217093e-05,0.000158655639958198,-1.24993872591793e-05
"72",28,"1969-04-01",8.19553968841737e-06,0.000125526429152755,-1.08172771786232e-05
"73",29,"1969-04-01",6.01977967791334e-06,9.77535676273437e-05,-5.96815409910167e-06
"74",30,"1969-04-01",4.42255666889401e-06,7.60702826337422e-05,-4.45652123595135e-06
"75",31,"1969-04-01",3.24937111714175e-06,6.1712300577591e-05,-3.32472588798676e-06
"76",32,"1969-04-01",2.38698099765547e-06,5.09066010281814e-05,-2.48255615378066e-06
"77",33,"1969-04-01",1.75342214091488e-06,4.19903727172245e-05,-1.85539408510383e-06
"78",34,"1969-04-01",1.28811593408992e-06,3.46412274426127e-05,-1.38632750652238e-06
"79",35,"1969-04-01",9.46262328019846e-07,2.85813330941391e-05,-1.0374160851977e-06
"80",36,"1969-04-01",6.95100184482457e-07,2.35802322241166e-05,-7.77142129865024e-07
"81",37,"1969-04-01",5.1060972886929e-07,1.94542364321142e-05,-5.82372027267877e-07
"82",38,"1969-04-01",3.7508979632626e-07,1.60504078532254e-05,-4.36439145221385e-07
"83",39,"1969-04-01",2.75532813212489e-07,1.32423405971686e-05,-3.27188723241311e-07
"84",40,"1969-04-01",2.0239895275808e-07,1.09253751278472e-05,-2.45399611244776e-07
"85",41,"1969-04-01",1.48677735665278e-07,9.01387183092174e-06,-1.84100499834077e-07
"86",42,"1969-04-01",1.09215089029507e-07,7.43685363839575e-06,-1.38144910321436e-07
"87",43,"1969-04-01",8.02262881571546e-08,6.13576131103874e-06,-1.03699295490209e-07
"88",44,"1969-04-01",5.89319517932967e-08,5.06228782353832e-06,-7.78689925904197e-08
"89",1,"1969-05-01",0,0,0
"90",2,"1969-05-01",0.00215447306256613,0.0257700368790511,-0.0285777370671271
"91",3,"1969-05-01",0.0221053116110418,0.04663579240478,-0.0053747282983816
"92",4,"1969-05-01",0.00211684308155755,0.0148307066762652,-0.00906012248670824
"93",5,"1969-05-01",0.00380166624950887,0.0158802453641108,-0.00653375913759181
"94",6,"1969-05-01",0.00440896874683772,0.0125651928836918,-0.0039404651175303
"95",7,"1969-05-01",0.00345455401888099,0.0104786047408293,-0.00253865774350769
"96",8,"1969-05-01",0.00166930335829484,0.00734470267666678,-0.00336596918957101
"97",9,"1969-05-01",0.00161048860378587,0.00607420625593361,-0.00210525614645672
"98",10,"1969-05-01",0.00130649886029347,0.00460334550983752,-0.00142304752895409
"99",11,"1969-05-01",0.000891536529089096,0.00362218174100658,-0.00137882487408118
"100",12,"1969-05-01",0.000634525170137209,0.00272751114285595,-0.00115847559475616
"101",13,"1969-05-01",0.000510190057369875,0.00221336014654177,-0.000907455920567388
"102",14,"1969-05-01",0.000377216908549779,0.0017617175743159,-0.000746172252503054
"103",15,"1969-05-01",0.000271544390684093,0.00137902420888852,-0.000627300107811538
"104",16,"1969-05-01",0.000203673075835664,0.00117902957119091,-0.000460232679821819
"105",17,"1969-05-01",0.000153778688786754,0.000980885675307933,-0.000331620017634541
"106",18,"1969-05-01",0.000113064089001225,0.00077061754995041,-0.000265698162932589
"107",19,"1969-05-01",8.35372500765285e-05,0.00061559111117448,-0.000223008488047448
"108",20,"1969-05-01",6.24202246809496e-05,0.000486478696001948,-0.00018154833455305
"109",21,"1969-05-01",4.63911180425712e-05,0.000387801476007309,-0.000144742942697048
"110",22,"1969-05-01",3.4308868188803e-05,0.000306504305205808,-0.000112868048578545
"111",23,"1969-05-01",2.54797790115832e-05,0.000243753251663381,-8.61584142206021e-05
"112",24,"1969-05-01",1.89454671464949e-05,0.000193866583779117,-6.49536421696425e-05
"113",25,"1969-05-01",1.40511677539506e-05,0.000155723364303708,-5.12741771595011e-05
"114",26,"1969-05-01",1.0420848919574e-05,0.00012496555506879,-4.13538104398721e-05
"115",27,"1969-05-01",7.73858473977914e-06,0.000100425223545027,-3.33175056372921e-05
"116",28,"1969-05-01",5.74447283742402e-06,8.06757259205666e-05,-2.68510254961655e-05
"117",29,"1969-05-01",4.26166082437932e-06,6.48536889529074e-05,-2.16411240157188e-05
"118",30,"1969-05-01",3.1626819402283e-06,5.21367409743387e-05,-1.74357974921888e-05
"119",31,"1969-05-01",2.34758311009468e-06,4.19404137168322e-05,-1.40460311809061e-05
"120",32,"1969-05-01",1.74212110569659e-06,3.3743328075044e-05,-1.13157175495585e-05
"121",33,"1969-05-01",1.29275084256476e-06,2.71614852083458e-05,-9.11554875508783e-06
"122",34,"1969-05-01",9.59422526454173e-07,2.18697741701218e-05,-7.34266238495244e-06
"123",35,"1969-05-01",7.12028546833313e-07,1.76169815843281e-05,-5.91448064455988e-06
"124",36,"1969-05-01",5.2838966537024e-07,1.42115628599466e-05,-4.76406028002521e-06
"125",37,"1969-05-01",3.92122807398148e-07,1.14790477526979e-05,-3.83738102370774e-06
"126",38,"1969-05-01",2.91005853352673e-07,9.27526834543413e-06,-3.09094019225614e-06
"127",39,"1969-05-01",2.15959126064481e-07,7.4975837573425e-06,-2.48970164489347e-06
"128",40,"1969-05-01",1.6026445760356e-07,6.06282819165276e-06,-2.0054415111973e-06
"129",41,"1969-05-01",1.18934712922348e-07,4.90454032459851e-06,-1.61539732395435e-06
"130",42,"1969-05-01",8.82633195597372e-08,3.96901600543878e-06,-1.30197709889813e-06
"131",43,"1969-05-01",6.55010896597126e-08,3.21316448597349e-06,-1.04938607128347e-06
"132",44,"1969-05-01",4.86090767076551e-08,2.60221683302547e-06,-8.45818719628181e-07
"133",1,"1969-06-01",0,0,0
"134",2,"1969-06-01",0.0014482459225128,0.0287287734111792,-0.0310978268280375
"135",3,"1969-06-01",0.0258334397062224,0.0533654029950841,-0.0031604680632199
"136",4,"1969-06-01",0.00387536125882069,0.0178146346900136,-0.0115569050220062
"137",5,"1969-06-01",0.00651173105192973,0.0166194283220601,-0.00576214669561649
"138",6,"1969-06-01",0.00568347755665204,0.0146544401546433,-0.00359110970124675
"139",7,"1969-06-01",0.00462812414884985,0.0123419682575633,-0.00182363607173498
"140",8,"1969-06-01",0.00276280512060544,0.00807080682616023,-0.00270395279129717
"141",9,"1969-06-01",0.00241157404849298,0.0071536622143219,-0.00175554816742271
"142",10,"1969-06-01",0.0018158504329026,0.00597784195486012,-0.00113256820152552
"143",11,"1969-06-01",0.0013249338243667,0.00461840899964965,-0.00101704908806193
"144",12,"1969-06-01",0.000972823801793804,0.0035868044930426,-0.000944924545020615
"145",13,"1969-06-01",0.000744251053352868,0.00318272315520194,-0.00067192589683536
"146",14,"1969-06-01",0.000548708049827192,0.00262606213211565,-0.00053308432894656
"147",15,"1969-06-01",0.000405127720683799,0.00211489401629812,-0.000409846004493061
"148",16,"1969-06-01",0.000301246630981428,0.00176438521109737,-0.00032091145642494
"149",17,"1969-06-01",0.000223997584455251,0.00148776596044465,-0.000247785978640829
"150",18,"1969-06-01",0.000165472382153559,0.00122004105744926,-0.000193856885912803
"151",19,"1969-06-01",0.000122533132085082,0.00100630374310025,-0.000150855796628084
"152",20,"1969-06-01",9.08054110802222e-05,0.000841770878433788,-0.000117901988323532
"153",21,"1969-06-01",6.7208321875823e-05,0.000704992092962025,-9.19697647852879e-05
"154",22,"1969-06-01",4.97117880361224e-05,0.000587787904955401,-7.19239376247882e-05
"155",23,"1969-06-01",3.67931852734918e-05,0.000492356694217853,-5.726374148969e-05
"156",24,"1969-06-01",2.72261071808084e-05,0.000412798587839374,-4.62595808841779e-05
"157",25,"1969-06-01",2.01402475835005e-05,0.000345116269007012,-3.73073320707431e-05
"158",26,"1969-06-01",1.48988836964956e-05,0.000288599093921931,-3.01278235624869e-05
"159",27,"1969-06-01",1.10222270152735e-05,0.000241714932099556,-2.4312910356899e-05
"160",28,"1969-06-01",8.15336123354319e-06,0.000202314239695747,-1.96351996061084e-05
"161",29,"1969-06-01",6.0309396056996e-06,0.000169221965771287,-1.58541937400052e-05
"162",30,"1969-06-01",4.46107758802802e-06,0.000141620827544825,-1.28087458392442e-05
"163",31,"1969-06-01",3.29980513168026e-06,0.000118547456767183,-1.03616627144567e-05
"164",32,"1969-06-01",2.4407560364232e-06,9.91944736930185e-05,-8.38477362302834e-06
"165",33,"1969-06-01",1.80533963688852e-06,8.30005962796428e-05,-6.7857795063985e-06
"166",34,"1969-06-01",1.33534324110272e-06,6.9465512202224e-05,-5.49310390683411e-06
"167",35,"1969-06-01",9.87695557493385e-07,5.81339269188734e-05,-4.44738392036676e-06
"168",36,"1969-06-01",7.30551550582363e-07,4.86456343923151e-05,-3.60153937344772e-06
"169",37,"1969-06-01",5.40353846026378e-07,4.0708758096348e-05,-2.91708818479498e-06
"170",38,"1969-06-01",3.99672845780434e-07,3.40681453656502e-05,-2.36320544645021e-06
"171",39,"1969-06-01",2.95617315906038e-07,2.85093473315393e-05,-1.91485199172932e-06
"172",40,"1969-06-01",2.18652577002131e-07,2.38573988487995e-05,-1.55187296525561e-06
"173",41,"1969-06-01",1.61725699265511e-07,1.99651376792824e-05,-1.25794066760571e-06
"174",42,"1969-06-01",1.19619792090286e-07,1.67077952621519e-05,-1.01988070403811e-06
"175",43,"1969-06-01",8.84762573928522e-08,1.39816762895511e-05,-8.27030677778879e-07
"176",44,"1969-06-01",6.54410549638529e-08,1.17004572496775e-05,-6.70776066643245e-07
"177",1,"1969-07-01",0,0,0
"178",2,"1969-07-01",0.000312983490947224,0.03319944813866,-0.0285786760059687
"179",3,"1969-07-01",0.0268579549398132,0.0490926054729608,-0.00103053816436463
"180",4,"1969-07-01",0.00370253415522275,0.0175705082087195,-0.00671226716415916
"181",5,"1969-07-01",0.00584703934542333,0.0219328968803434,-0.00430472633343655
"182",6,"1969-07-01",0.00569432255195525,0.0173160802845499,-0.00163718493091884
"183",7,"1969-07-01",0.0044704035525836,0.013467457945635,-0.00110510428098996
"184",8,"1969-07-01",0.00258784807337282,0.00929903440534705,-0.00164133881453705
"185",9,"1969-07-01",0.00226329167060353,0.00787647873852628,-0.000818291282365357
"186",10,"1969-07-01",0.00174394060951648,0.00618374326367306,-0.000717659877155484
"187",11,"1969-07-01",0.00124097168589256,0.00460187615540795,-0.000485075106889776
"188",12,"1969-07-01",0.000909467392678257,0.0035199946754438,-0.000516908213684246
"189",13,"1969-07-01",0.000698045639170044,0.00290255678716303,-0.00027925438979295
"190",14,"1969-07-01",0.000514323439431687,0.00221649350663132,-0.000219339459141504
"191",15,"1969-07-01",0.000376913203266687,0.00176831051953322,-0.000159520970964068
"192",16,"1969-07-01",0.000280508416769436,0.0013866323040162,-0.000143881002971883
"193",17,"1969-07-01",0.000208493876702054,0.00111023411258825,-0.000102162191189688
"194",18,"1969-07-01",0.000153667826795811,0.000888151014120758,-7.34196367304762e-05
"195",19,"1969-07-01",0.000113579730587934,0.000719422055745435,-5.89592142030702e-05
"196",20,"1969-07-01",8.41485203010088e-05,0.000577679393565145,-3.48881432990599e-05
"197",21,"1969-07-01",6.22081821107129e-05,0.000466073035183039,-2.54800032051757e-05
"198",22,"1969-07-01",4.59519427008262e-05,0.000374438692723199,-1.90933392322705e-05
"199",23,"1969-07-01",3.39802155692667e-05,0.000301453996900999,-1.95551347106697e-05
"200",24,"1969-07-01",2.51249893615282e-05,0.000242151625635016,-1.31482168853274e-05
"201",25,"1969-07-01",1.85670231319505e-05,0.000194699621525372,-1.06341955221348e-05
"202",26,"1969-07-01",1.37224253096414e-05,0.000156361709004066,-8.36303388214575e-06
"203",27,"1969-07-01",1.01436083146555e-05,0.000125620501603336,-6.4285754072273e-06
"204",28,"1969-07-01",7.49704060676427e-06,0.000100857859184591,-4.0792650210657e-06
"205",29,"1969-07-01",5.54061564889228e-06,8.09883931089486e-05,-2.48449579506568e-06
"206",30,"1969-07-01",4.09499409255128e-06,6.50093580306625e-05,-2.35022214299477e-06
"207",31,"1969-07-01",3.02654068617441e-06,5.21851805244246e-05,-1.36061141344766e-06
"208",32,"1969-07-01",2.23677309518741e-06,4.18819745339198e-05,-9.2671950432373e-07
"209",33,"1969-07-01",1.65309930341871e-06,3.40785066684438e-05,-6.26760360517999e-07
"210",34,"1969-07-01",1.22174454499937e-06,2.77560197127697e-05,-4.81318013236955e-07
"211",35,"1969-07-01",9.02936963332129e-07,2.2607580199487e-05,-2.87347195058519e-07
"212",36,"1969-07-01",6.67316447977276e-07,1.84151621080304e-05,-1.92453662773737e-07
"213",37,"1969-07-01",4.93182488623801e-07,1.5001227550465e-05,-1.68980505346362e-07
"214",38,"1969-07-01",3.64488012629037e-07,1.22212121282678e-05,-1.40301365166417e-07
"215",39,"1969-07-01",2.693751296714e-07,1.01041238374784e-05,-1.1502072979247e-07
"216",40,"1969-07-01",1.99081844769619e-07,8.40263592428924e-06,-9.24868150395571e-08
"217",41,"1969-07-01",1.47131627478114e-07,7.00290452342653e-06,-7.32453390575053e-08
"218",42,"1969-07-01",1.08737684424156e-07,5.87605131437342e-06,-5.72988832093493e-08
"219",43,"1969-07-01",8.0362581398714e-08,4.9545290997589e-06,-4.43744490947543e-08
"220",44,"1969-07-01",5.93919692403514e-08,4.17902868079497e-06,-3.40780704352252e-08
"221",1,"1969-08-01",0,0,0
"222",2,"1969-08-01",0.00375412177154144,0.0345078343263994,-0.0196628391146703
"223",3,"1969-08-01",0.0306792339286832,0.0581103554894187,0.00259078477068792
"224",4,"1969-08-01",0.00726954337513735,0.0205029776590456,-0.00478862048715286
"225",5,"1969-08-01",0.00836590543962149,0.0204256902131994,-0.00286030924398074
"226",6,"1969-08-01",0.00782352396833296,0.0176520125463391,-0.00178002950347688
"227",7,"1969-08-01",0.00620218519579771,0.0135337864932611,-0.000902130738953327
"228",8,"1969-08-01",0.00388782035014472,0.00968827464704416,-0.00131917026228707
"229",9,"1969-08-01",0.00321195205049546,0.00851020070996297,-0.000828107487613108
"230",10,"1969-08-01",0.00246491332823687,0.00710986304241047,-0.000671608650868519
"231",11,"1969-08-01",0.00178014022443098,0.00556010859432281,-0.000523869594696779
"232",12,"1969-08-01",0.00130040892154693,0.00432571889702607,-0.000423761492888858
"233",13,"1969-08-01",0.000983187112007351,0.00374799872819243,-0.00030861783829226
"234",14,"1969-08-01",0.000723779665297957,0.00321400449546454,-0.000239030395653081
"235",15,"1969-08-01",0.00052901087467993,0.00271455584274832,-0.000209938591264025
"236",16,"1969-08-01",0.000390228530370816,0.00222183477828633,-0.000166686911973099
"237",17,"1969-08-01",0.000287952427667998,0.00182766780583602,-0.000128325941395692
"238",18,"1969-08-01",0.000211125958326756,0.00149586471358169,-9.95678900367731e-05
"239",19,"1969-08-01",0.000154929042389543,0.00122016400875161,-9.12929863618956e-05
"240",20,"1969-08-01",0.00011388216100368,0.000997931643225797,-6.71166537487141e-05
"241",21,"1969-08-01",8.35963954205501e-05,0.000816677640528569,-4.85175843376637e-05
"242",22,"1969-08-01",6.13058371029601e-05,0.000667170311883728,-3.66281676893775e-05
"243",23,"1969-08-01",4.49831466528401e-05,0.000544777814318004,-2.85516954418327e-05
"244",24,"1969-08-01",3.30061126368902e-05,0.000445090901088853,-2.22264371739957e-05
"245",25,"1969-08-01",2.42068988860534e-05,0.000363605544463981,-1.7285940799088e-05
"246",26,"1969-08-01",1.77525799078412e-05,0.000296917397197041,-1.34606854047227e-05
"247",27,"1969-08-01",1.30204245290011e-05,0.000242475796437062,-1.04859399582826e-05
"248",28,"1969-08-01",9.54866953407279e-06,0.000198056692253215,-8.85393196046191e-06
"249",29,"1969-08-01",7.0019598908807e-06,0.000161775765809417,-7.96716392606338e-06
"250",30,"1969-08-01",5.1345413266678e-06,0.000132143326217799,-5.50037262700997e-06
"251",31,"1969-08-01",3.76513640299124e-06,0.000107955207887855,-3.85951433642544e-06
"252",32,"1969-08-01",2.76084619476621e-06,8.82084995154509e-05,-3.00708684755774e-06
"253",33,"1969-08-01",2.02440561486468e-06,7.20821714730038e-05,-2.34336668621554e-06
"254",34,"1969-08-01",1.48440742658421e-06,5.89124794458382e-05,-1.8265388152232e-06
"255",35,"1969-08-01",1.08843922472155e-06,4.81574266855366e-05,-1.42384337690578e-06
"256",36,"1969-08-01",7.98087824258071e-07,3.93725693018635e-05,-1.11003787963736e-06
"257",37,"1969-08-01",5.8518896880553e-07,3.21956128870673e-05,-8.6553452010138e-07
"258",38,"1969-08-01",4.29082296779364e-07,2.63315952311518e-05,-6.7498687563901e-07
"259",39,"1969-08-01",3.14617744031607e-07,2.15396276205845e-05,-5.26450563391036e-07
"260",40,"1969-08-01",2.30687873769218e-07,1.76229594680412e-05,-4.106526986327e-07
"261",41,"1969-08-01",1.69147625844235e-07,1.4421128901629e-05,-3.20370878872493e-07
"262",42,"1969-08-01",1.24024204462295e-07,1.18032284529236e-05,-2.49970051624295e-07
"263",43,"1969-08-01",9.09382137015019e-08,9.66237096715127e-06,-1.95063762105814e-07
"264",44,"1969-08-01",6.66785431935375e-08,7.91129087207949e-06,-1.52237072374603e-07
"265",1,"1969-09-01",0,0,0
"266",2,"1969-09-01",0.00415695064357501,0.0317963148527625,-0.0198165754474861
"267",3,"1969-09-01",0.0306570743061392,0.0627718896204868,0.00198739181530256
"268",4,"1969-09-01",0.0084898169894721,0.0210718678669024,-0.00512378074817929
"269",5,"1969-09-01",0.00878290904453068,0.0205179029493273,-0.00179970479302177
"270",6,"1969-09-01",0.00802288803095595,0.0179331503925456,-0.000455092963834449
"271",7,"1969-09-01",0.0062647779749458,0.014766378169164,-0.000735979725602392
"272",8,"1969-09-01",0.004066488333171,0.0104043512597786,-0.000569624149813769
"273",9,"1969-09-01",0.00321278739180765,0.00898296917805437,-0.000251819497507418
"274",10,"1969-09-01",0.00244534242805281,0.00765244443680433,-0.000225195503918054
"275",11,"1969-09-01",0.00175995547618897,0.00631101471143287,-0.000229373885986864
"276",12,"1969-09-01",0.00127682304556115,0.00511483701762097,-0.000210784556650233
"277",13,"1969-09-01",0.000948080352106129,0.00378003084240165,-7.71344140277474e-05
"278",14,"1969-09-01",0.00069303924742971,0.00273313317300119,-0.000126094309573206
"279",15,"1969-09-01",0.000502605647795926,0.0019937768578345,-0.000228118245516798
"280",16,"1969-09-01",0.000366701766130416,0.00147950887966104,-0.000268498126247848
"281",17,"1969-09-01",0.000267709954500757,0.00121102791557896,-0.000184176539576454
"282",18,"1969-09-01",0.000194646370589477,0.000991540014301,-0.00014405118594137
"283",19,"1969-09-01",0.000141498204375685,0.000813203790161136,-0.000110774155411427
"284",20,"1969-09-01",0.000102978322701491,0.000666794434667581,-0.000134610834861028
"285",21,"1969-09-01",7.48908516409192e-05,0.000547373091713207,-8.20401421817815e-05
"286",22,"1969-09-01",5.44252563049373e-05,0.000450550276858442,-6.62015738211562e-05
"287",23,"1969-09-01",3.95597399026509e-05,0.000371083595474644,-5.94291198192154e-05
"288",24,"1969-09-01",2.8755787607739e-05,0.000305785502326423,-4.4371106777954e-05
"289",25,"1969-09-01",2.08969015714548e-05,0.00025214642627114,-2.21797602908984e-05
"290",26,"1969-09-01",1.51845412463929e-05,0.000208037307424249,-1.60229936869501e-05
"291",27,"1969-09-01",1.103412873619e-05,0.000171744465708736,-1.87438626815516e-05
"292",28,"1969-09-01",8.01778091128843e-06,0.000141865846783759,-1.06116082338861e-05
"293",29,"1969-09-01",5.82563534393301e-06,0.000117254203709209,-6.77069230730408e-06
"294",30,"1969-09-01",4.23281424260958e-06,9.69671441727632e-05,-5.02533160623702e-06
"295",31,"1969-09-01",3.07548522206533e-06,8.02355248544517e-05,-4.6258442959643e-06
"296",32,"1969-09-01",2.23454518491677e-06,6.64279746965835e-05,-2.34579312245564e-06
"297",33,"1969-09-01",1.62352632547622e-06,5.50267208063856e-05,-1.45450595503641e-06
"298",34,"1969-09-01",1.17958324083315e-06,4.5606875117007e-05,-1.0724480631594e-06
"299",35,"1969-09-01",8.57029457468691e-07,3.78196646921553e-05,-8.67479045473382e-07
"300",36,"1969-09-01",6.22673372311163e-07,3.13784286544634e-05,-5.80159985485932e-07
"301",37,"1969-09-01",4.52401168842982e-07,2.60475306938041e-05,-4.12467913302687e-07
"302",38,"1969-09-01",3.28690031624022e-07,2.16634681478447e-05,-3.78752576469287e-07
"303",39,"1969-09-01",2.38807768640188e-07,1.80850318589786e-05,-3.40221782005368e-07
"304",40,"1969-09-01",1.73504078481679e-07,1.51007750125316e-05,-1.51710506550724e-07
"305",41,"1969-09-01",1.26058054823095e-07,1.26114948920902e-05,-1.08028440735314e-07
"306",42,"1969-09-01",9.15864494169122e-08,1.05346458939282e-05,-1.432784918127e-07
"307",43,"1969-09-01",6.65413411813204e-08,8.80152715027531e-06,-7.50571462062954e-08
"308",44,"1969-09-01",4.83450142312638e-08,7.35494614704449e-06,-4.72972101373856e-08
"309",1,"1969-10-01",0,0,0
"310",2,"1969-10-01",-0.000903346239900364,0.031914644804919,-0.0252567994204369
"311",3,"1969-10-01",0.0247485080040187,0.0573233491354443,-0.0112598721366959
"312",4,"1969-10-01",0.00516503336391692,0.0193334532651322,-0.0114431341965759
"313",5,"1969-10-01",0.00682589488071211,0.0200203106521265,-0.00483519448096632
"314",6,"1969-10-01",0.00562915561781119,0.0168337212005639,-0.00383660725797182
"315",7,"1969-10-01",0.00463773909061582,0.0133711390983373,-0.00229574693486309
"316",8,"1969-10-01",0.00298720925055321,0.00841054232357407,-0.00222078877745791
"317",9,"1969-10-01",0.00241648309825748,0.00759911972585545,-0.00103263597400733
"318",10,"1969-10-01",0.00182768946192263,0.00599467323905849,-0.000811273892423678
"319",11,"1969-10-01",0.00134766891465284,0.00467345135560723,-0.000738652908196217
"320",12,"1969-10-01",0.000993642722813322,0.00367837593345377,-0.000458685984684227
"321",13,"1969-10-01",0.000747841656179011,0.00288891101913978,-0.000301265429261047
"322",14,"1969-10-01",0.000555323292317133,0.00235931325351779,-0.000255303111982836
"323",15,"1969-10-01",0.000411299989500663,0.00188181660971164,-0.000173106022987206
